Judge,Rejected,Accepted
ОСОБА_2,68,0
ОСОБА_7,20,0
 І.О.Притуляк,5,0
Р.  В.  Бакланов,4,0
О.А.Лобов,3,0
О.О. Панченко,1,0
Л. М. Хіль,6,0
С.М. Бараненко,24,0
Л.І. Соломаха,11,0
Мєзєнцев Євген Ігорович,1,0
Лічевецький Ігор Олександрович,1,0
Т.Б.Бонк,0,1
Шурко О.І.,56,0
Синчук М.М.,2,0
Галушко Н.А.,27,2
Якімець Г.Г.,28,4
С.А. Пашкіна,67,30
Н.Ф. Калатай,67,24
М.І.  Хабіб,1,0
А.І.  Мартюк,96,30
С.В. Таран,69,10
Демидюк О.О.,15,0
О.М. Коротун,130,0
Дубник О.П.,21,1
Г.А. Жук,91,23
І.А. Шутенко,22,9
М.І. Хабіб,17,3
Р.А. Гетьман,40,0
Павлюк І.Ю.,17,0
Петухов М.Г.,20,0
С.В. Барбашова,19,0
Н.М. Принцевська,10,1
О.А.Пуль,2,0
Н.М. Принцевська,2,0
Олексюк Г.Є. ,9,0
Н.М. Принцевська,1,0
Л.П. Широбокова,51,17
Дужич С.П.,12,0
Н.М. Дучал,33,5
В.С. Хачатрян,31,0
О.Г. Іванов,3,6
О.В. Плахов,19,0
В.О. Фоміна,25,0
Н.О. Мартюхіна,15,3
С.Г. Антонік,27,16
О.Г. Іванов,35,7
Н.М. Пелипенко,24,0
І.Л. Кузнецова,28,0
О.А. Демешин,2,0
О.Г. Смородінова,3,0
І. Кушнір,12,0
О. О. Мамалуй,32,0
Вільчинський Олександр Ванадійович,1,0
С.Ф. Костюкевич ,1,0
С.Ф. Костюкевич,8,0
Г.В. Костенко,19,0
Баранюк А.З.,43,0
Комшелюк Т.О.,1,0
І.І. Тарновецький,6,0
І.С. Козачок,1,0
І.І. Тарновецький,2,0
І.Д. Компанієць,138,0
А.О. Коршун,50,16
Т.І. Ясенова,99,33
А.В. Суховаров,18,0
О.О. Большакова,7,0
Н. М. Судова-Хомюк,1,0
В.В. Мигалевич,2,0
І.В.Боброва,1,0
І.В. Боброва,2,0
С.П. Мельниченко,1,0
Г.В. Кривцова,1,0
Р.  В.  Бакланов,2,0
-,7,0
В.В. Малихіна,1,0
В.О. Корягін,12,0
С.Ф. Васильчук,19,0
П'ятковський В. І.,3,0
Потятинник Ю. Р.,7,0
Д.Унятицький,11,0
А.Міланіч,2,0
Н.О. Денисенко,18,0
І. М. Черніцька,7,0
Р. М. Грицак,4,0
В.Ю. Бєлка,1,0
О. Я. Герчаківська,6,0
Н.Л.Яковенко,4,0
І.Зейкан,4,0
Гуляєва Г. М.,3,0
Т. Д. Бєссонова,1,0
Сілантьєва Е.Є.,2,0
О.В.Лаченкова,23,0
С.А.Кіселик,12,0
С.А.Кіселик,4,0
О.Л.Дуковський,4,0
Якімець Г.Г.,1,1
О.Л.Дуковський,7,0
О.В.Зварич,4,0
О.І. Матущак,8,7
Н.С. Богацька,36,3
Н.С. Богацька,1,0
Разюк Г.П.,25,0
Разюк Г.П.,19,0
А.І. Ярош,4,0
А.І. Ярош,15,0
Аленін О.Ю.,43,1
Філінюк І.Г.,50,0
Аленін О.Ю.,17,0
Я.Ф. Савицький,21,2
Аленін О.Ю.,5,0
С.І. Колоколов,39,2
Савицький Я.Ф.,15,0
Л.В. Чорна,47,25
Т.П. Козир,57,1
І.А. Іоннікова,68,11
С.І.  Буравльов,102,17
Г.А. Кравчук,38,19
Юрчук М.І.,15,1
Саврій В.А.,7,0
Василишин А.Р.,10,2
Л.Ф. Чернота,26,5
Крейбух О.Г.,20,0
Л.М. Здоровко,19,0
Розізнана І.В.,13,0
Н.В. Гребенюк,11,0
Л.М. Білецька,47,15
І.М. Подобєд,38,13
С.Г.  Антонік,2,0
І.М. Кощеєв,49,7
С.Г. Антонік,2,0
О.В.Березкіна,23,13
М. О.Дармін,1,0
О.Г. Іванов,1,1
І.Л.Кузнецова,3,0
О.М. Сковородіна,9,0
О.С.Боєва,1,0
О.С. Боєва,1,0
В.Г. Кабакова,2,0
Ю.М. Щавинська,1,0
О.В. Цісельський,6,0
Андрійчук О.В.,1,0
Л.А. Костенко,2,0
Л.А. Костенко,1,0
І. С. Берднік,35,1
Ж.П.Павлова,7,0
В.В.Попов.,9,0
К.О. Шелестов,4,0
 О.О. Некрасов ,1,0
Потоцька Н.В.,87,0
О.О. Некрасов,2,0
О.О. Михайлов,62,0
Д.Д. Гнап,70,0
Р.О. Кушнірчук,3,0
В.М.Прасолов,1,0
І.О. Притуляк,2,0
Д. О. Кухар,2,0
Л.О. Маруліна,1,0
В.О. Корягін,14,0
І.І. Тарновецький,18,0
А.В. Шлай,61,13
С.В. Сафронова,49,13
І.Ю. Добродняк,46,0
Л.П. Шеметенко,13,0
Л.О. Костюк,50,0
А.Г. Степанюк,47,0
Файдюк В.В.,29,0
Л.В. Губська,46,0
Шурко О.І.,4,0
Л.П. Шеметенко,1,0
Кусік І.В.,2,0
Шурко О.І.,9,0
О.Б. Заверуха,1,0
О. О. Большакова,1,0
В. М. Корбут,10,0
Г.В. Соловей,54,0
О. М. Іванова,7,0
Н. В. Бруновська,1,0
О. Б. Заверуха,1,0
В.В.Літовка,12,0
С. М. Ткачова,1,0
К. В. Мороз,2,0
П. П. Винниченко,10,0
--,4,0
Сілантьєва Е.Є.,1,0
В.Л.Калашник,4,0
О.В. Домарєв,12,0
О.П. Васильєв,2,0
Т.В. Одринська,7,0
А.І. Овсяннікова,24,0
М.С. Гончар,5,0
М.А.Яворський,3,0
О.О.Шишов,169,0
С.О. Журба,4,0
С.М. Бойко,8,0
І.В. Сіваченко,34,0
С.М. Бойко,9,0
Дмитришена Руслана Миколаївна,3,0
Желік М.Б.,46,8
О.Л. Мирутенко,33,0
О.І. Матущак,2,0
Л. В. Лавриненко,3,0
Я.Ф. Савицький ,26,2
Л.В. Лавриненко,10,0
Л.О. Будішевська,27,15
О.О. Хрипун,40,5
І.Г. Філінюк,7,0
Л. В. Лавриненко,15,10
Хабіб,7,4
Л.В. Лавриненко ,1,0
Філіпова Т.Л. ,11,0
І.М. Кощеєв ,2,0
Е.В. Орєшкіна,20,11
О.М. Сковородіна ,12,0
Е.В. Зекунов ,7,0
М.В.Мірошниченко,1,0
М.О. Лейба ,4,0
Антонік,4,0
Н.А. Колодій ,1,0
М.В. Мірошниченко,5,0
С.В. Літвінов,2,0
Л.В. Степанова,1,0
І. Ткач,45,1
Е.В. Катаєва,2,0
Л.О. Єресько,1,0
В.К. Блонський,1,0
Г.М. Міронова,1,0
А.М. Горяйнов,8,0
М.А. Пліш,6,0
Д. М. Старунський,2,0
В. П. Сапіга,1,0
А. І. Рибачук,9,0
І. В. Глушко,1,0
І. В. Глушко,1,0
В. Я. Макарик,2,0
Л.В. Губська,1,0
Н. М. Судова-Хомюк,1,0
А.Ю. Кучма,54,0
К.О. Шелестов,2,0
К.О. Шелестов,1,0
В.О. Корягін,1,0
Ю. В. Гречко ,25,0
В.М. Прасолов,1,0
С.Ф. Васильчук ,19,0
С.Ф. Васильчук ,30,0
ОСОБА_8,11,0
Гуляєва Г. М. .,1,0
Є.І. Яценко,26,0
Чередник В.Є.,3,0
 ,14,0
Л.І. Пилипчук,9,0
С.А.Кіселик,4,0
О.О.Панченко ,1,0
С.В. Боймиструк,2,0
О.В. Ільяшевич,2,0
Н .Г.Скользнєва,4,0
О.В. Редько,6,0
Плечищева О.В.,1,0
В.  В.  Дорош,1,0
В. М. Братасюк,3,0
В. Л. Дзюбич,7,0
С. В. Кунцьо,9,0
О.В Зварич,4,0
Н.М. Принцевська,2,0
Л.В. Лавриненко,1,0
Л.П.  Зубець,87,17
Аленін О.Ю.,1,0
Л. В. Лавриненко,2,0
Розізнана І.В. ,5,0
Грязнов В.В. ,9,1
Мельник О.В.,3,0
О.Є. Медуниця,9,0
Л.І. Бородіна,3,2
Грязнов В.В.,18,0
Василишин А.Р. ,2,0
І.В. Зубченко,12,2
Л.А. Коваль,1,0
О.В.Березкіна ,3,0
Н.В. Рога,3,0
Олена Юріївна Резніченко,1,0
С.В. Заєць,2,0
О.Ю.Резніченко,1,0
О.Ю. Резніченко,2,0
О.В. Чернова,1,0
К.Шепель,5,0
 ОСОБА_4,1,0
С.П. Мельниченко,2,0
М.М. Дзерин,1,0
Л.І.Хомченко,2,0
Л.С. Мацишин,14,0
В.М.Прасолов ,1,0
 Р.О. Кушнірчук,1,0
Ю.В. Геєць,4,0
Т.М. Димарчук,1,0
М.М. Луцович,3,0
Аканов О.О. ,1,0
Спірідонов М.О.,1,0
,163,0
О.О. Михайлов,1,0
І.О. Притуляк,1,0
А.А. Блохін,29,0
О.М.Кузьмишина,3,0
В. М. Багрій,3,0
В. М. Багрій,1,0
А. І. Рибачук,1,0
В. В. Ніколін,1,0
Р. М. Шавель,1,0
Д. М. Старунський,2,0
А. І. Рибачук,1,0
В. Я. Макарик,3,0
Л.В. Лавриненко,4,0
Н. М. Судова-Хомюк,1,0
В. Я. Макарик судді,1,0
Ч.М.Теміров,17,0
І.Б. Марціцка,5,0
В.В.Батюк,1,0
В. В. Ромазан,13,0
О.І.Горегляд,1,0
О.Є.Мамонова,1,0
Позарецька С. М.,1,0
Ляху Г.О.,1,0
І.О. Бровченко,7,0
С.Б. Бутенко,4,0
Дорош А.І.,1,0
О.В.Чумак,1,0
П.С. Абрамов,1,0
Дорош А.І.,1,0
О.О. Крестьянінов,7,0
М.М. Яковенко,20,0
О.П. Лях,4,0
В.Г.Тюлюнова,23,0
А.В. Сіпака,1,0
С.П. Мельниченко ,2,0
Л.Я.Соловйова,1,0
А.І. Петричкович,90,0
В.М. Прасолов,5,0
І.І. Тарновецький,12,0
Г. В. Бондаренко ,7,0
І.П. Васильченко,7,0
П.О. Григорович,2,0
Д. О. Кухар ,10,0
А.Б. Парінов,5,0
Г.М. Міронова,1,0
Є.В. Чаку,20,0
Є.І.Мєзєнцев,17,0
О.А. Губська,21,0
А.Б. Парінов,2,0
О.А. Губська,12,0
А.Б. Парінов,1,0
Г.В. Земляна,81,0
Є.В. Чаку,4,0
Є.В. Чаку,1,0
І. В. Цибенко,9,0
В.О. Кухта,1,0
Г.М. Олейнікова,1,0
І.Зейкан,6,0
Коротких А.Ю.,39,0
Собків Я.М.,18,0
С. П. Нос,3,0
І. І. Запотічний,3,0
В.В. Хандурін,15,0
В.В.Хандурін,1,0
А.М. Котляр ,2,0
Шиян В.В.,2,0
А. І. Костенко,2,0
О.В. Прядкіна,4,0
О.О.Панченко,1,0
О. М. Вийванко,15,0
Л. М. Сливка,5,0
Бєдєлєв С.І.,2,0
В.М. Триголов,1,0
О. В. Прядкіна,3,0
О.І. Матущак,1,0
ОСОБА_1  ,0,2
Н.М. Принцевська ,0,2
Т.І. Разіна,117,0
А.І. Тищенко,69,36
Л. В. Лавриненко,4,3
Саврій В.А. ,3,0
В.О.Кузнецов,27,8
Дармін М.О.,4,0
Л.М. Білецька ,1,0
Н.В. Пархоменко,17,6
З.О. Кононенко,25,0
В.А. Калиновський,26,0
О.А. Спаскін,2,0
Т.А. Верхогляд,28,7
І.О. Вечірко,9,1
І.О. Вечірко,8,0
М.О. Дармін ,5,0
Мельнікова Л.В.,1,0
О.А. Спаскін,12,0
І.О. Вечірко,32,0
Г.Є. Курило ,1,0
Ю. Я. Чумак,1,0
Лях О.П.,2,0
Ральченко І.М.,1,0
Н.М. Принцевська,0,1
Разюк Г.П.,1,0
Г.П. Разюк ,1,0
Бєляновський В.В.,6,7
О.В. Чус,13,0
Н.М. Кравчук,31,5
М.І. Хабіб,3,0
О.І. Матущак,2,0
Н.М. Кравчук,10,0
,1,0
Л.В. Поліщук,35,5
Л.В. Поліщук,0,2
Л.В. Лавриненко,3,0
Бєляновський В.В. ,2,3
Н.М.  Принцевська,1,0
Таран,1,0
Л. В. Лавриненко,0,1
Г.П. Разюк,2,0
Л.В.Лавриненко ,0,1
Л. В. Лавриненко,0,1
Принцевська ,1,0
Л. В. Лавриненко,1,0
Б.В. Отрюх,46,7
Л.Г. Смірнова,40,1
І.Г. Філінюк ,5,0
М.Л.  Доманська,50,4
М.А.  Руденко,111,20
О.М. Остапенко,42,7
Є.Ю.  Пономаренко,96,16
М.А.  Дідиченко,79,15
Миханюк М.В.,9,0
Я.О. Білоусова,16,0
І.В. Тарасова,9,0
М.М. Слободін ,1,0
І.М.Кощеєв,16,3
С.Г.  Антонік,2,0
В.О. Кузнецов,7,0
Н.В. Величко ,14,0
С.О.Чебикіна,1,0
Ю.В. Картавцева,1,0
А.Р. Ейвазова,4,0
 О. Б. Покатілов ,1,0
С.О. Стефанов,1,0
 Л.С. Мацишин,2,0
Л.С.Мацишин,3,0
Л. І. Переверзева,3,0
С.Ф. Васильчук,6,0
Н.Г. Вєкуа,4,0
І.В. Геращенко,2,0
Г.В.Соловей,2,0
О.Є.Пилипенко,11,0
А.Б. Парінов,1,0
Файдюк В.В.,8,0
Г.В. Земляна,3,0
О.Є. Пилипенко,14,0
О.Є.Пилипенко,28,0
Шурко О.І.,7,0
Є.О. Сорочко,28,0
 Шурко О.І.,1,0
Ю.А. Ісаєнко,12,0
Л.М. Васильєва,2,0
Н.Г.Скользнєва,2,0
 Н .Г.Скользнєва,12,0
 В. В. Рябченко  ,1,0
І.В. Грамчук,1,0
І.С. Берднік,22,0
 В.Г. Тюлюнова,2,0
А.А.Борцова ,2,0
 К.О. Шелестов,3,0
А.А. Борцова,1,0
Р.О.Кушнірчук,3,0
Ничик Г. І.,1,0
С.М. Кадигроб,2,0
В. Б. Мартинюк,1,0
П.П. Винниченко,6,0
О.М.Герцов,1,0
О.М. Герцов,7,0
О.В.Корман,3,0
: О.А.Лобов,1,0
І.О.Притуляк,5,0
Боброва І.В.,3,0
В.О. Баранкевич,2,0
Галій С. П.,1,0
Ч .М. Теміров,1,0
П.П.Гуменний,2,0
Н.В.Безименна,45,0
Т.В. Бобко,1,0
Кордюк Г.Т.,2,0
Г.Т. Кордюк,4,0
С.І. Колоколов ,3,0
М.Г. Чорногуз,103,29
Б.М. Грек,18,4
Бучинська Г.Б. ,4,0
Демидюк О.О. ,10,0
Тимошенко О.М.,9,0
В.В. Лакіза,18,0
Л.А. Коваль,2,0
О.О. Банасько,1,0
О.С. Боєва,1,0
Т.Ю. Трофименко,1,0
В.П. Босий,1,0
Л.М. Шкурдова,1,0
М.Є. Літвінова,3,0
С.Б. Колодій ,2,0
Погребна К.Ф.,,1,0
С.В. Гладій,3,0
О.В. Ільяшевич,1,0
Білостоцький О.В.,24,0
Н.М. Грицаюк,1,0
О.М. Панченко,46,0
С.М. Іванов,55,16
О.О. Круговий,52,11
Д.В. Чепурнов,76,14
І.В. Юрко,63,16
В.Є. Чередниченко,48,16
О.В. Головко,20,0
Я.В. Семененко,10,13
Я.В. Семененко,4,4
О.В. Головко,0,11
І.В. Юрко,1,0
Ю.В. Горбачова,1,0
Н. М. Янів,1,0
С. О. Кіхтенко,2,0
Г.М. Олейнікова,1,0
Н.Л.Яковенко,1,0
О.В. Лук'янчук,17,0
О.В. Головко,1,5
Г.В.  Земляна,11,0
Є.В. Чаку,1,0
В.Ю.Ключкович,40,0
Ганечко О.М.,2,0
Є.В Чаку,5,0
Є.В Чаку,1,0
В.П. Мельничук,43,0
Є.В. Чаку,4,0
Л.В.Бєлова,59,0
Є.В. Чаку,3,0
Є.В. Чаку,2,0
О.М. Кузьмишина,2,0
Коротких А.Ю.,1,0
Є.В. Чаку,7,0
А.Ю. Кучма,1,0
В.Ю. Ключкович,10,0
А.Ю. Кучма,17,0
В. С. Затолочний,11,0
Л. П. Іщук,2,0
Н.В. Ільчишин,15,0
О.І.Мікула,2,0
І.Ткач,5,0
К. М. Пільков,35,0
Данилевич Н.А.,1,0
Шурко О.І.,1,0
О.М. Кузьмишина,13,0
В.П. Мельничук,2,0
В. В. Рябченко ,7,0
Ч.М.Теміров ,1,0
Ч.М. Теміров,3,0
Ч.М. Теміров,5,0
Ч.М.Теміров,5,0
І.Б. Марціцка,2,0
Д.В.Нев'ядомський,1,0
О. О. Маньковська,2,0
В.О. Попрас ,1,0
В. Г. Черняк,3,0
Назаренко О.В.,5,0
В. Г. Черняк ,1,0
Ю.В.Михальченко,1,0
А.В. Лазаренко,1,0
О.В.Антонюк,1,0
Ю. К. Овсієнко,1,0
Никифоряк Л.П.,3,0
О.М. Ратушенко,1,0
О.Л.Дуковський,2,0
С.І.Мурашко,6,0
М.А.Яворський,1,0
Первушина О.С.,1,0
Тандир О.В.,1,0
М.А.Яворський,1,0
М.А.Яворський,1,0
М.А.Яворський,1,0
М.А.Яворський,2,0
Н.І. Малиш,32,9
Л.А. Божко,25,20
О.В Зварич ,6,0
Т.Б.Бонк,1,0
Петухов М.Г. ,5,0
О.В. Стойка,15,1
(,3,0
О.Г. Іванов,3,0
С.Ю. Наріжний,1,0
Іванчук С.В. ,4,0
Іванчук С.В. ,1,0
Н.О. Спиридонова,8,0
К.І. Довгань,1,0
Н.Б.Плахтій ,3,0
 С.П. Мельниченко,1,0
:  ОСОБА_5,1,0
:  ОСОБА_6,1,0
В.А. Донець,2,0
 В.М Прасолов,1,0
ОСОБА_3  ,8,0
ОСОБА_5   ,2,0
О.М. Панченко ,5,0
С.М. Іванов ,9,2
Т.І. Ясенова ,9,1
А.В. Суховаров ,7,0
І.В. Юрко ,5,5
О.О. Круговий ,12,5
С.В. Білак ,6,0
В.В. Мельник ,2,2
В.Є. Чередниченко ,4,0
Т.О. Скочок,3,0
О.М. Кузьмишина,2,0
ОСОБА_5  ,9,0
ОСОБА_6   ,1,0
А.В. Шлай ,10,4
ОСОБА_4 ,8,0
Н.І. Малиш ,1,1
,4,0
Л.О. Костюк,49,0
Н. П. Янчук ,2,0
В.П. Мельничук,5,0
С.В. Сафронова ,9,3
О.В. Мандро,1,0
О.М. Кузьмишина,1,0
О.М. Кузьмишина,4,0
В.П.Мельничук,1,0
А.Ю. Кучма,1,0
Д.М. Руденко,2,0
О.М  Кузьмишина,2,0
А.Б. Парінов,1,0
А.Ю. Кучма,1,0
В.П. Мельничук,1,0
Максимів І.В.,1,0
В.В. Хандурін,1,0
Г.Стасенко,3,0
Соловей ,7,0
Бараненко С.М.,1,0
Мартинюк В.Б.,3,0
А. Ю. Зайцев,9,0
ОСОБА_7 ,1,0
А.М. Вайновський,1,0
В. М. Багрій,2,0
П.Д. Денисюк,1,0
 О.В. Шишкін,1,0
 Г.С. Носов,1,0
Губська Я.В.,1,0
Г.В.Бойко,1,0
Г.В. Бойко,3,0
А. К. Сітало,1,0
В. Є. Ломакін,2,0
П.С. Абрамов,1,0
Г.Л. Карпушин,4,0
П.С. Абрамов,2,0
П.С. Абрамов,5,0
Г.П. Коробенко,54,1
С.М. Бойко,3,0
В.В. Сулім,15,0
Савченко Г.І. ,5,0
Гудак А.В. ,1,0
О.В. Березкіна,14,0
І.О. Вечірко,4,0
І.О. Вечірко,4,0
Ю.Ю. Первушин,2,0
Н.А. Колодій,3,0
С.М. Коваль,1,0
Ткаченко Н.Г.,20,0
Л.О. Татарчук,2,0
А.М.Лутай,2,0
Р.О. Кушнірчук,1,0
М.В. Бутенко,1,0
С.Ф. Васильчук,2,0
Д.М. Руденко,2,0
С.Є. Гаврилко,1,0
 Г.В. Соловей,27,0
Н.М. Румілова,3,0
Є.В. Аблов,6,0
О.А. Кармазін,2,0
Ю.В. Дурасова,50,20
І.О.Притуляк,1,0
Ж.П.Павлова,1,0
Стас Л.В.,10,0
Стас Л.В.,9,0
А.Г.Березін,2,0
Ганечко О.М.,2,0
В.П. Мельничук,3,0
В.П. Мельничук,1,0
В.П. Мельничук,1,0
Ж.В. Кузіна,4,0
ОСОБА_5 ,3,0
А.К. Вергопуло,2,0
І.Ю.Зейкан,2,0
О.В.Бугера,3,0
О.В. Бугера,3,0
С.О. Іващенко,2,0
Баранов О.І.,3,0
О.П. Васильєв,1,0
О.О.Панченко,3,0
Г.Л. Карпушин,1,0
П.С. Абрамов,2,0
О. В. Прядкіна,2,0
Г.Л. Карпушин,1,0
М.А.Яворський,3,0
Маханьков О.В.,1,0
Плотніцький Б.Д.,4,0
Н.М. Принцевська,0,1
С.В. Таран,1,0
С.І. Колоколов,1,0
В.В. Сулім,62,15
А.О. Чеснокова,11,0
О.І. Мікула,5,0
С.М. Кузьмич,1,0
Огороднік К.М. ,3,0
Маціщук А.В. ,4,1
О.В. Стойка ,1,2
О.О. Радіонова ,1,0
Л. А.Радченко,2,0
Гребенюк Н.В. ,1,0
А.Ю. Кучма,27,0
Антонік С.Г. ,1,0
К.О. Шелестов,1,0
Гребенюк Н.В.,1,0
І. М. Кощеєв,5,0
К.О. Шелестов,1,0
О.О. Радіонова,7,0
Н.О. Мартюхіна ,1,1
В. К. Демидова,1,0
С.С. Дроздова,2,0
Р.В. Бойко,1,0
Миханюк М.В. ,4,0
Кощеєв,1,0
А.Є. Чередко ,2,0
Г. В. Бондаренко,4,0
Ю.І. Соколова,1,0
А.П Іванов,2,0
ОСОБА_11,5,0
Ткаченко Н.Г.,1,0
Романюк Ю.Г.,1,0
І. Булгакова,1,0
Ю.  Я.  Чумак,1,0
С.П. Пушкарьова,2,0
Салтан Л.Г.,1,0
В. Є. Аксьонов ,1,0
Р.В. Хоростіль ,1,0
І.В.Боброва,1,0
С.В.Кодінцева,3,0
В. Б. Мартинюк,1,0
Колядов В.Ю.,1,0
О.О. Старіков,1,0
Пухальський С. В.,1,0
І.Ю.Зейкан,2,0
Назаренко О.В.,5,0
Майстренко О.М.,2,0
О.В.Кухаренко,1,0
Ю.В.Михальченко,1,0
В.Ю. Бєлка,1,0
Хомченко Л.І.,2,0
Т.М. Димарчук ,1,0
Мар'єнко Л.М.,1,0
Літвінова А.В.,1,0
В.А. Кузьменко,5,0
С.В. Чабаненко,22,0
Кравченко К.В.,16,0
В.П. Мельничук,1,0
В.П. Мельничук,12,0
Г.В. Земляна,5,0
Файдюк В.В.,6,0
Л.В. Губська,1,0
Шурко О.І.,1,0
О.В. Карпушова,1,0
В.О. Аліменко,3,0
А.І. Ярош ,6,0
Н.М.Принцевська,1,0
Тимошенко О.М. ,4,0
О.І. Склярук,1,0
Н.О. Мартюхіна,1,0
Н. Г. Зінченко,2,0
С.М. Фурсова ,3,0
Петрашко М.М.,1,0
Ю.М. Невінгловська,2,0
М.В. Смаровоз ,1,0
О.С. Тинок,2,0
І.А. Васильєва,2,0
Н.В.Коваленко,2,0
В. С. Висоцька,2,0
О.В. Фазикош,2,0
Н.Г.Скользнєва,2,0
В.О.Баранкевич,1,0
В.О.Баранкевич,1,0
О.Я.Присакар,2,0
ОСОБА_10,4,0
ОСОБА_17,1,0
О.А. Савченко,1,0
І. А. Косач,3,0
Бєдєлєв С.І.,1,0
А.А.Борцова,2,0
С.В. Ткаченко,1,0
В.В.Попов. ,2,0
І.Ю. Котлярова,2,0
РАЧКЕЛЮК ,1,0
Мартинюк В.Б.,1,0
В.М. Тімонова,1,0
О.І. Баранов.,2,0
Іщенко І.В.,1,0
О.І. Чельник,2,0
О.В.Чумак,1,0
В.М.Карабань,1,0
О.Л. Дуковський,2,0
В.В. Матущак,44,0
О.В.Зварич ,1,0
Крейбух О.Г. ,2,0
Павлюк І.Ю. ,7,0
Т.А. Верхогляд ,1,0
Т.В. Загинайко,1,0
Н.А.Колодій ,1,0
Артимович В.М.,1,0
В.Л.Котельницька,1,0
О.К. Подобєд,4,0
Н.А. Бишевська,37,0
В.В. Матущак,1,0
Я.І. Добрянська,1,0
В.В. Амельохін,2,0
: Кушнірчук Р.О.,2,0
О.Є. Пилипенко,4,0
Є.В. Чаку,7,0
В.П. Мельничук,2,0
Є.В.Чаку,2,0
І.О.Притуляк ,1,0
О.Б. Лазарів,1,0
В.Гумбатов,3,0
О.Б. Лазарів,1,0
Ю.Я. Чумак,1,0
Є.С. Козирський,1,0
Шкорупеєв Д.А,1,0
В. В. Рябченко,3,0
Рябченко,1,0
О.В. Шишкін,3,0
О.М.Герцов,3,0
О.М.Герцов,2,0
О.М. Герцов,1,0
В . О . Музиченко,1,0
І. В. Ульяніч,2,0
О.В.Назаренко,1,0
Ю.М. Мальований,1,0
М.О. Макаров,4,0
М.А.Яворський,3,0
Якімець Г.Г. ,1,0
Л.В. Поліщук ,1,0
Л.М.Білецька ,1,0
С.М. Фурсова,6,0
О.В. Чернова ,2,0
Гутьєва В.В.,1,0
